Matches,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,FTR,FTG
MU v LEI,2,1,1,0,1,8,13,6,4,11,8,2,5,2,1,0,0,1,3
BOU v CAR,2,0,1,0,1,12,10,4,1,11,9,7,4,1,1,0,0,1,2
FUL v CRY,0,2,0,1,-1,15,10,6,9,9,11,5,5,1,2,0,0,-1,2
HUD v CHE,0,3,0,2,-1,6,13,1,4,9,8,2,5,2,1,0,0,-1,3
NEW v TOT,1,2,1,2,-1,15,15,2,5,11,12,3,5,2,2,0,0,-1,3
WAT v BRI,2,0,1,0,1,19,6,5,0,10,16,8,2,2,2,0,0,1,2
WOL v EVE,2,2,1,1,0,11,6,4,5,8,7,3,6,0,1,0,1,0,4
ARS v MC,0,2,0,1,-1,9,17,3,8,11,14,2,9,2,2,0,0,-1,2
LIV v WHM,4,0,2,0,1,18,5,8,2,14,9,5,4,1,2,0,0,1,4
SOU v BUR,0,0,0,0,0,18,16,3,6,10,9,8,5,0,1,0,0,0,0
CAR v NEW,0,0,0,0,0,12,12,1,6,14,16,5,5,2,2,0,1,0,0
CHE v ARS,3,2,2,2,0,24,15,11,6,12,9,5,1,0,2,0,0,1,5
EVE v SOU,2,1,2,0,1,13,15,7,4,8,20,2,5,0,5,0,0,1,3
LEI v WOL,2,0,2,0,1,6,11,2,3,10,8,1,9,2,1,1,0,1,2
TOT v FUL,3,1,1,0,1,25,10,11,3,9,5,5,2,0,0,0,0,1,4
WHM v BOU,1,2,1,0,1,11,12,5,5,14,10,6,4,6,2,0,0,-1,3
BRI v MU,3,2,3,1,1,6,9,3,3,16,13,3,5,1,1,0,0,1,5
BUR v WAT,1,3,1,1,0,8,9,3,6,8,19,5,2,1,2,0,0,-1,4
MC v HUD,6,1,3,1,1,32,5,14,1,9,4,10,3,0,2,0,0,1,7
CRY v LIV,0,2,0,1,-1,8,16,2,6,6,13,6,7,1,1,1,0,-1,2
ARS v WHM,3,1,1,1,0,17,13,10,5,16,13,10,2,1,3,0,0,1,4
BOU v EVE,2,2,0,0,0,17,11,5,3,12,10,6,2,0,3,1,1,0,4
HUD v CAR,0,0,0,0,0,5,14,1,4,8,10,7,7,0,1,1,0,0,0
LIV v BRI,1,0,1,0,1,22,6,8,2,8,14,8,5,1,1,0,0,1,1
SOU v LEI,1,2,0,0,0,11,8,5,5,13,11,10,3,1,1,1,0,-1,3
WOL v MC,1,1,0,0,0,11,18,2,6,13,8,5,9,1,2,0,0,0,2
FUL v BUR,4,2,3,2,1,25,12,12,2,11,8,6,4,2,1,0,0,1,6
NEW v CHE,1,2,0,0,0,6,15,2,3,16,8,4,5,3,1,0,0,-1,3
WAT v CRY,2,1,0,0,0,13,9,5,3,14,11,6,3,4,2,0,0,1,3
MU v TOT,0,3,0,0,0,23,9,5,5,11,16,5,2,2,4,0,0,-1,3
BRI v FUL,2,2,0,1,-1,15,10,5,5,12,14,7,1,3,3,0,0,0,4
CHE v BOU,2,0,0,0,0,24,8,6,1,10,7,7,6,2,2,0,0,1,2
CRY v SOU,0,2,0,0,0,20,19,6,6,11,12,7,4,1,1,0,0,-1,2
EVE v HUD,1,1,1,1,0,11,9,1,6,13,14,4,3,3,3,0,0,0,2
LEI v LIV,1,2,0,2,-1,12,10,5,4,9,12,4,4,3,2,0,0,-1,3
MC v NEW,2,1,1,1,0,24,3,8,2,5,13,4,0,0,0,0,0,1,3
WHM v WOL,0,1,0,0,0,13,15,3,6,10,11,4,4,2,1,0,0,-1,1
BUR v MU,0,2,0,2,-1,9,21,2,9,7,13,2,5,2,3,0,1,-1,2
CAR v ARS,2,3,1,1,0,14,17,3,11,12,14,3,9,3,4,0,0,-1,5
WAT v TOT,2,1,0,0,0,7,11,3,2,9,8,3,10,2,1,0,0,1,3
BOU v LEI,4,2,3,0,1,10,14,5,8,13,15,4,6,3,2,0,1,1,6
CHE v CAR,4,1,2,1,1,18,6,7,2,8,10,5,4,0,0,0,0,1,5
HUD v CRY,0,1,0,1,-1,15,7,2,2,11,17,5,3,1,2,0,0,-1,1
MC v FUL,3,0,2,0,1,28,9,9,3,7,7,10,4,0,0,0,0,1,3
NEW v ARS,1,2,0,0,0,4,12,2,2,13,11,10,4,0,0,0,0,-1,3
